"video_id","trending_date","title","channel_title","category_id","category","viewcount","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","video_error_or_removed","descript","country","publish_timestamp","population"
"tP1PTpdOM7s","2017-11-18","Լավ երեկո (Ելենա Եսենինա, Սեբու) 17.11.2017","Հանրային հեռուստաընկերություն",23,"Comedy",32256,816,26,0,"https://i.ytimg.com/vi/tP1PTpdOM7s/default.jpg",True,False,False,"Հայաստանի հանրային հեռուստաընկերություն 2017\nhttp://www.1tv.am\n\nՀաղորդավարներ՝ Գարիկ Պապոյան, Արամ MP3","RU","2017-11-17 18:37:18","armenian"
"dnGdY1OD-TI","2017-12-15","Керченский мост. Пролеты соединены с аркой. 14.12.2017г.","Крым новости",25,"News & Politics",8058,39,5,0,"https://i.ytimg.com/vi/dnGdY1OD-TI/default.jpg",True,False,False,"Крымский мост.","RU","2017-12-14 10:30:59","russian"
"syVKiA6SU0g","2017-12-11","🗽США🎈СКАНДАЛ🎈 ОТВАЛИТЕ ОТ МЕНЯ НЕУДАЧНИКИ🎈 РЕАЛИЗУЙТЕСЬ БЕЗ МЕНЯ И МОИХ ИДЕЙ","Ольга Брукман",22,"People & Blogs",11278,556,303,0,"https://i.ytimg.com/vi/syVKiA6SU0g/default.jpg",True,False,False,"НАЖИМАЙТЕ НА ССЫЛКИ И ПОПАДЕТЕ НА МАГАЗИНЫ 😊😊😊😊\nhttp://lesdress.ru/about.html  САЙТ С МНОЖЕСТВОМ ВЕЩЕЙ\nКАК Я ЛЕГКО И ПРОСТО ОТБЕЛИЛА ЗУБЫ\nhttps://www.youtube.com/watch?v=sRYt4T2b0Go\n\nПРОДАЖА АМЕРИКАНСКИХ БРЕНДОВЫХ ВЕЩЕЙ ОТ  ОЛЬГА БРУКМАН  ДЛЯ ВСЕЙ СЕМЬИ - https://goo.gl/T4S9nX\n\n\n\nhttps://www.youtube.com/channel/UCnRW23IaXVSggIENLcUlOiw\nБРЕНДОВЫЕ ВЕЩИ ИЗ США\n\n\n\n↓ ↓ ↓ ↓ ↓ ↓ ОТКРОЙ МЕНЯ↓ ↓ ↓ ↓ ↓\n\n КАНАЛ МОЕЙ ДОЧЕРИ https://www.youtube.com/user/LangeLena1 \n\n ИНСТАГРАМ МОЕЙ ДОЧЕРИ. https://instagram.com/langelena86/\n\n↓ ↓ ↓ ↓ ↓ ↓ ОТКРОЙ МЕНЯ↓ ↓ ↓ ↓ ↓\n\nОТБЕЛИТЬ ЗУБЫ ОКАЗАЛОСЬ ОЧЕНЬ ПРОСТО\nИЛИ КАК СДЕЛАТЬ АМЕРИКАНСКУЮ УЛЫБКУ\nhttps://www.youtube.com/playlist?list=PL31o2yoBA5xzzPDz4HtRxTisgFVyNMnZ_\n\nКАК ВЫУЧИТЬ АНГЛИЙСКИЙ С НУЛЯ, БЕЗ ПРАВИЛ\nhttps://www.youtube.com/playlist?list=PL31o2yoBA5xz4eIfUKq9u9wDXM9KzK-VH\n\nКУДА МЫ ПУТЕШЕСТВУЕМ С МУЖЕМ\nhttps://www.youtube.com/playlist?list=PL31o2yoBA5xz4ie30Sqc7p1P_AG4iLtZ7\nМОЯ РАБОТА В ДОМЕ ДЛЯ БЕЗДОМНЫХ В США, КАК КОРМЯТ, УСЛОВИЯ ПРОЖИВАНИЯ\nhttps://www.youtube.com/playlist?list=PL31o2yoBA5xxAGahKqlWLmrlwlmYQ9hsY\n\n\nЯ В КОНТАКТЕ \nhttps://vk.com/olgabrookman","RU","2017-12-10 15:50:25",NULL
"HJgDBDDgMkk","2018-03-14","ЗУХРА СОЛИЕВА 40 ЁШИДА БАХТИНИ ТОПГАН АКТРИСА...","Yulduzlar Hayoti",22,"People & Blogs",90003,818,68,0,"https://i.ytimg.com/vi/HJgDBDDgMkk/default.jpg",True,False,False,"Каналга обуна булинг: http://bit.ly/2C57Hxj\nПодпишись на канал: https://goo.gl/f734eV","RU","2018-03-12 05:11:36","other"
"qg6UxSz303o","2017-11-21","Kisabac Lusamutner eter 20.11.17 Payqari Erku Koghme","KisabacLusamutner",29,"Nonprofits & Activism",33969,114,51,0,"https://i.ytimg.com/vi/qg6UxSz303o/default.jpg",True,False,False,"ՊԱՅՔԱՐԻ ԵՐԿՈՒ ԿՈՂՄԸ - 2013 թ.-ի հոկտեմբերի 2-ին տեղի ունեցած ողբերգական դեպքը Ավետյանները  չեն կարողանում մոռանալ։Այդ օրը նրանք կորցրին իրենց  որդուն՝ Արամին։ Որդու մահից հետո ցավը կրկնապատկվեց։ Տատիկը և պապիկը  արդեն մի   քանի ամիս է  չեն  տեսել թոռնիկին՝  Արմանին։ Հարսը ՝ Սաթենիկը թողնելով10-ամյա  Սերգեյին սկեսուր սկեսրայիր մոտ  հեռացել է իր հետ տանելով կրտսեր որդուն։ Դժբախտ պատահար, դավաճանություն, փախուստ։Այս ամենի արդյունքում Արմանը ուսումնական տարվա սկզբից չի հաճախում դպրոց։\nՀԱՅԿԱԿԱՆ ՀԵՌՈՒՍՏԱԵՍՈՒԹՅԱՆ ԹԻՎ 1 ԹՈՔ ՇՈ1ՈՒ\nերկուշաբթի-ուրբաթ ATV-ի եթերում!!","RU","2017-11-20 17:08:48","armenian"
"RHA5_cKCMhM","2017-12-06","Tanınmışlar Manafın oğlunun Toyunda NƏLƏR ETDİ?","UGUR TV",22,"People & Blogs",44825,127,25,0,"https://i.ytimg.com/vi/RHA5_cKCMhM/default.jpg",True,False,False,"https://www.instagram.com/yalcin_ugur_official/\n\nhttps://www.facebook.com/yalcin.suleymanov","RU","2017-12-05 07:30:50","other"
"qxNXMLNM1MI","2017-11-23","Kisabac Lusamutner eter 22.11.17 111.Gerdastane Shenqum","KisabacLusamutner",29,"Nonprofits & Activism",29878,113,38,0,"https://i.ytimg.com/vi/qxNXMLNM1MI/default.jpg",True,False,False,"111. ԳԵՐԴԱՍՏԱՆԸ ՇԵՆՔՈՒՄ - Մալաթիայի կղզիացած հանրակացարանի մի սենյակում,  չնայած բազում  ու  անլուծելի թվացող խնդիրների, արդեն 13 տարի  18  քառակուսի մետր տարածքում  շարունակում  է  ապրել Քրսիտինե Կարապետյանի և Մանուկ  Խառատյանի 8-հոգանոց ընտանիքը:  Երեխաներից  3-ը դպրոցական են:Ավագը11-ամյա Անահիտն է, երազում է ոստիկան դառնալ, առաջին աշխատավարձով որոշել է դպրոցական համազգեստ գնել փոքր եղբոր՝ Էդմոնի համար:Քրիստինեի  մայրը  Թերեզան բնակվում է հանրակացարանի երրորդ հարկում, աղջկա երկու երեխաները գիշերում են նրա մոտ,քանի որ մեկ սենյակում ընտանիքը չի տեղավորվում:Մայրն է օգնում ընտանիքին, շաբաթական երկու անգամ ռեստորաննում ափսեներ է լվանում 3 հազար դրամով, նախկինում նաև տուն մաքրելու համար էին կանչում, հիմա «պատվերներ» չունի:Իսկ Մանուկը բանվորական աշխատանք է անում օրական 3-4 հազար դրամով:\nԿԻՍԱԲԱՑ ԼՈՒՍԱՄՈՒՏՆԵՐ\nՀԱՅԿԱԿԱՆ ՀԵՌՈՒՍՏԱԵՍՈՒԹՅԱՆ ԹԻՎ 1 ԹՈՔ ՇՈ1ՈՒ\nերկուշաբթի-ուրբաթ ATV-ի եթերում!!","RU","2017-11-22 17:14:08","armenian"
"MbwDSMLLqhk","2017-11-24","Kisabac Lusamutner eter 23.11.17 Tsnoghakan Hoverov","KisabacLusamutner",29,"Nonprofits & Activism",23364,66,34,0,"https://i.ytimg.com/vi/MbwDSMLLqhk/default.jpg",True,False,False,"ԾՆՈՂԱԿԱՆ ՀՈՎԵՐՈՎ - 53-ամյա Կարո Գևորգյանը արդեն մեկ տարի միայնակ խնամում է  երեքամյա Կարինային: Հերթական վեճից հետո մայրը թողնելով երեխային փախավ տանից և ոչ մի անգամ հանդիպում չփնտրեց:Այսօր միայնակ հայրը փորձում է լրացնել այն բացերը,որոնք թույլ է տվել կինը: Ինչու՞  է Շուշանիկը հրաժարվել երեխայից և ու՞մ խնամակալությանը կհանձնի երեխային օրենքը՝ կիմանանք այսօր երկրի թիվ մեկ թոք շոուի տաղավարում:\nՀԱՅԿԱԿԱՆ ՀԵՌՈՒՍՏԱԵՍՈՒԹՅԱՆ ԹԻՎ 1 ԹՈՔ ՇՈ1ՈՒ\nերկուշաբթի-ուրբաթ ATV-ի եթերում!!","RU","2017-11-23 18:01:49","armenian"
"Ee0VztoMJyM","2017-12-08","Ахбори Тоҷикистон ва ҷаҳон (07.12.2017)اخبار تاجیکستان .(HD)","Ozodivideo",25,"News & Politics",64751,742,87,0,"https://i.ytimg.com/vi/Ee0VztoMJyM/default.jpg",True,False,False,"Расонаҳои Русия номи муҳоҷири тоҷикро, ки зани русро аз рӯд берун кард, ёдовар нашуданд, мусодираи амволи қарздорон дар Узбекистон, худдории баъзе бонкҳои Тоҷикистон аз табодули пулисомонӣ ба асъори хориҷӣ ва муаррифии филме дар бораи кӯдакрабоӣ.","RU","2017-12-07 12:57:40","other"
"VCDteKywvY0","2017-12-09","Ахбори Тоҷикистон ва ҷаҳон (08.12.2017)اخبار تاجیکستان .(HD)","Ozodivideo",25,"News & Politics",51827,337,155,0,"https://i.ytimg.com/vi/VCDteKywvY0/default.jpg",True,False,False,"Боздошти Хайрулло Мирсаидов, нигаронии Тоҷикистон аз вазъи Байтулмуқаддас, паёми вазири корҳои хориҷии Тоҷикистон ба САҲА, сабр ва ё эътироз бар зидди хушунат дар хонаводаҳо ва баҳси таҷлили соли нав.","RU","2017-12-08 12:37:45","other"
"IsrDOnamXMU","2017-11-25","Kisabac Lusamutner eter 24.11.17 Vtangavor Qaminer","KisabacLusamutner",29,"Nonprofits & Activism",25884,121,31,0,"https://i.ytimg.com/vi/IsrDOnamXMU/default.jpg",True,False,False,"ՎՏԱՆԳԱՎՈՐ ՔԱՄԻՆԵՐ - Մոտ հարյուր գլուխ անասուն ունեցող Սերգեյ Քոչարյանի գոմերն այսօր լրիվ դատարկ են: Ամբողջ ունեցվածը կորցնելու և ոտքի կանգնելու փորձերին խանգարելու համար Սերգեյը մեղադրում է համագյուղացիներին, այդ թվում՝ պաշտոնավոր: Ինչու՞ Սերգեյ Քոչարյանը հայտնվեց դատարանում, այն էլ որպես մեղադրյալ, ի՞նչ պատճառով նա զրկվեց իր ամբողջ ունեցվածքից և ի՞նչ են պատասխանում նրա մեղադրանքներին համագյուղացիները՝ կիմանանք այսօր երկրի թիվ մեկ թոք շոուի տաղավարում:\nՀԱՅԿԱԿԱՆ ՀԵՌՈՒՍՏԱԵՍՈՒԹՅԱՆ ԹԻՎ 1 ԹՈՔ ՇՈ1ՈՒ\nերկուշաբթի-ուրբաթ ATV-ի եթերում!!","RU","2017-11-24 16:58:33","armenian"
"t0n0w78iFGs","2018-02-15","Diriliş Ertuğrul 106. Bölüm –Ares her şeyi bir bir anlatıyor","TRT 1",24,"Entertainment",327328,2449,123,0,"https://i.ytimg.com/vi/t0n0w78iFGs/default.jpg",True,False,False,"www.trt1.com.tr \nfacebook.com/trt1\ntwitter.com/trt1","RU","2018-02-14 20:22:44","turkish"
"mv5D5_WpvSs","2017-12-12","Ахбори Тоҷикистон ва ҷаҳон (11.12.2017)اخبار تاجیکستان .(HD)","Ozodivideo",25,"News & Politics",70916,410,114,0,"https://i.ytimg.com/vi/mv5D5_WpvSs/default.jpg",True,False,False,"Ҷамшед Абдулов, молики ширкати “Олими Каримзод” бо иттиҳоми бозпас надодани 15 миллион доллар қарзаш ба “Тоҷпромбонк” боздошт шудааст, шаҳрдори Душанбе Рустами Эмомалӣ дар бораи 11 моҳи кораш ҳисобот дод, Ироқ пирӯзӣ бар гурӯҳи даҳшатафкани давлати исломӣ-ро ҷашн гирифт ва матолиби дигар.","RU","2017-12-11 12:38:06","other"
"L8uU4Op7ghY","2017-11-29","Kisabac Lusamutner eter 27.11.17 Nerqin Hosanqner","KisabacLusamutner",29,"Nonprofits & Activism",67756,189,165,0,"https://i.ytimg.com/vi/L8uU4Op7ghY/default.jpg",True,False,False,"ՆԵՐՔԻՆ ՀՈՍԱՆՔՆԵՐ - Ամուսնությունից  մի քանի ամիս անց  Հասմիկը հեռանացավ ամուսնու տանից ու  վերադարձավ հայրական տուն՝ Ներքին Կարմիրաղբյուր։ Դուստրը փոքրիկ Անին արդեն 10 ամսական է, սակայն հայրը՝ Նվերն ու նրա ընտանիքի անդամները դեռ չեն էլ տեսել երեխային։ Ներքին Կարմիրաղբյուրից  Բերդ տանող ներքին հոսանքների մասին:\nՀԱՅԿԱԿԱՆ ՀԵՌՈՒՍՏԱԵՍՈՒԹՅԱՆ ԹԻՎ 1 ԹՈՔ ՇՈ1ՈՒ\nերկուշաբթի-ուրբաթ ATV-ի եթերում!!","RU","2017-11-27 17:11:04","armenian"
"5gXbKSxS6bI","2017-12-13","Ахбори Тоҷикистон ва ҷаҳон (12.12.2017)اخبار تاجیکستان .(HD)","Ozodivideo",25,"News & Politics",55555,314,190,0,"https://i.ytimg.com/vi/5gXbKSxS6bI/default.jpg",True,False,False,"Додгоҳ ҳукми ихроҷи Каромат Шарипов аз Русияро бетағйир гузошт, хадамоти алоқа имкони қатъи мухобирот тавасутти месенҷерҳоро матраҳ кардааст, раҳбари идораи умури дохилии пойтахти Тоҷикистон табдил шуд, панҷсолагии узвияти Тоҷикистон дар Созмони ҷаҳонии савдо ва матолиби дигар.","RU","2017-12-12 12:45:05","other"
"on7haKBnN90","2017-12-01","Kisabac Lusamutner eter 30.11.17 Jarangakanutyan Djvarutyunnere","KisabacLusamutner",29,"Nonprofits & Activism",20743,73,21,0,"https://i.ytimg.com/vi/on7haKBnN90/default.jpg",True,False,False,"ԺԱՌԱՆԳԱԿԱՆՈՒԹՅԱՆ ԴԺՎԱՐՈՒԹՅՈՒՆՆԵՐԸ - Արուս Հովհաննիսյանը անտեսելով հարազատների դեմ լինելու փաստը, որոշեց ընտանիք կազմել Նորիկի հետ:14 տարվա համատեղ ամուսնական կյանքի արդյունքում Արուսն ու Նորիկը ունեցան  երկու որդի, որոնցից Աղվանն այսօր ունի առողջական լուրջ խնդիրներ:Որն է   այս ընտանիքի իրական խնդիրը և ինչի՞ մասին է երազում 12-ամյա Աղվանը՝ կիմանանք երկրի թիվ մեկ թոք շոուի տաղավարում: \nՀԱՅԿԱԿԱՆ ՀԵՌՈՒՍՏԱԵՍՈՒԹՅԱՆ ԹԻՎ 1 ԹՈՔ ՇՈ1ՈՒ\nերկուշաբթի-ուրբաթ ATV-ի եթերում!!","RU","2017-11-30 17:03:58","armenian"
"v7PmcxK1eaA","2017-12-26","Черный курьер НОВИНКА БОЕВИК 2017","Военная История ВОВ 1941-1945 !",1,"Film & Animation",30082,0,0,0,"https://i.ytimg.com/vi/v7PmcxK1eaA/default.jpg",True,True,False,"Черный курьер НОВИНКА БОЕВИК 2017\nhttps://youtu.be/v7PmcxK1eaA","RU","2017-12-25 18:36:29","russian"
"iaQSdorvloA","2017-12-15","Ахбори Тоҷикистон ва ҷаҳон (14.12.2017)اخبار تاجیکستان .(HD","Ozodivideo",25,"News & Politics",70716,500,69,0,"https://i.ytimg.com/vi/iaQSdorvloA/default.jpg",True,False,False,"Наздикони Каромат Шарипов мегӯянд, ӯ озод аст ва дар Тоҷикистон табобат мегирад, созмонҳои байналмилалӣ барои дифоъ аз Хайрулло Мирсаидов садо баланд кардаанд, роҳи оҳани Тоҷикистон имкон ёфт, қатораҳои нав харидорӣ кунад ва матолиби дигар.","RU","2017-12-14 12:38:00","other"
"2nKsPUKGqpA","2017-12-02","Kisabac Lusamutner eter 01.12.17 Qogharkvats Aproghnere","KisabacLusamutner",29,"Nonprofits & Activism",23285,71,25,0,"https://i.ytimg.com/vi/2nKsPUKGqpA/default.jpg",True,False,False,"ՔՈՂԱՐԿՎԱԾ ԱՊՐՈՂՆԵՐԸ - Այսօր մարդիկ պիտի  հասկանան, որ ՄԻԱՎ-ը մարդկանց առանձին խմբերի հիվանդություն չէ, այլ ամբողջ հասարակության խնդիրը, հիվանդություն, որին մի օր կարող է բախվել յուրաքանչյուրը:  Հանրությունը պիտի սկսի հասկանալ, որ չի կարելի ՄԻԱՎ-ով ապրող մարդուն զրկել լիակատար կյանքով ապրելու եւ սովորական գործունեությամբ զբաղվելու հնարավորությունից: Ինչպե՞ս շարունակեն ապրել այն մարդիկ, որոնցից հեռացել են ամենահարզատները, ինչպե՞ս բացատրեն իրենց երեխաներին նրանց ընկերներ չունենալու պատճառները և ինչպե՞ս դառնալ ավելի հանդուրժող նրանց հանդեպ: Այսօր երկրի թիվ մեկ թոք շոուի տաղավարում վարակի ակամայից կրողները առաջին դեպքով կպատմեն:\nՀԱՅԿԱԿԱՆ ՀԵՌՈՒՍՏԱԵՍՈՒԹՅԱՆ ԹԻՎ 1 ԹՈՔ ՇՈ1ՈՒ\nերկուշաբթի-ուրբաթ ATV-ի եթերում!!","RU","2017-12-01 17:12:54","armenian"
"93jz56W7Jjs","2017-12-16","BOSCO - ENTHÜLLT SCHNEEBALLSYSTEM !!!","The Wolf Of Bitcoin",22,"People & Blogs",1271,321,1,0,"https://i.ytimg.com/vi/93jz56W7Jjs/default.jpg",True,False,False,"+++ START UP 31.12.2017 +++\n\nPRELAUNCH NEWS! ✅\n\nDIE PRELAUNCH-PHASE hat am 01. November 2017 begonnen und endet am 28. Dezember 2017! 🌐\n\n‼️ PRELAUNCH AKTION‼️\n\n1. Prelaunch: 20% Bonus vom 01. November bis 17. November!\n2. Prelaunch:","RU","2017-12-14 16:12:52","other"
"ikiViosiX0Q","2017-12-16","Ахбори Тоҷикистон ва ҷаҳон (15.12.2017)اخبار تاجیکستان .(HD)","Ozodivideo",25,"News & Politics",97598,474,156,0,"https://i.ytimg.com/vi/ikiViosiX0Q/default.jpg",True,False,False,"Болоравии нархи гази табиӣ дар Душанбе, ҷоиза ба хабарнигороне, ки дар бораи мубориза бо терроризм гузориш таҳия кардаанд, интизороти беҳбуди равобити Тоҷикистону Қирғизистон ва парвандаи ҷиноии як муфаттиш дар ноҳияи Восеъ баъди нашри гузориши Радиои Озодӣ.","RU","2017-12-15 12:41:29","other"
"5_lgybsUIqA","2017-12-02","Լավ երեկո (Նազենի Հովհաննիսյան, Ռալֆ Յիրիկյան) 1.12.2017","Հանրային հեռուստաընկերություն",23,"Comedy",49560,797,44,0,"https://i.ytimg.com/vi/5_lgybsUIqA/default.jpg",True,False,False,"Հայաստանի հանրային հեռուստաընկերություն 2017\nhttp://www.1tv.am\n\nՀաղորդավարներ՝ Գարիկ Պապոյան, Արամ MP3","RU","2017-12-01 18:53:07","armenian"
